
                     X       _temp_1

           0.00000E+00   0.00000E+00
           1.00713E-03   8.62487E-02
           2.00176E-03   5.89763E-01
           3.00598E-03   1.97559E+00
           4.00021E-03   5.29950E+00
           5.00437E-03   1.24656E+01
           6.00850E-03   2.51076E+01
           7.00269E-03   4.54605E+01
           8.00681E-03   7.67088E+01
           9.00100E-03   1.18612E+02
           1.00050E-02   1.72813E+02
           1.10091E-02   2.37576E+02
           1.20032E-02   3.07041E+02
           1.30072E-02   3.77152E+02
           1.40013E-02   4.41254E+02
           1.50052E-02   4.93605E+02
           1.60092E-02   5.32733E+02
           1.70033E-02   5.59488E+02
           1.80073E-02   5.75507E+02
           1.90014E-02   5.85079E+02
           2.00053E-02   5.95340E+02
           2.10091E-02   6.09441E+02
           2.20030E-02   6.35934E+02
           2.30069E-02   6.80605E+02
           2.40008E-02   7.43662E+02
           2.50046E-02   8.29337E+02
           2.60085E-02   9.40419E+02
           2.70024E-02   1.07085E+03
           2.80062E-02   1.22289E+03
           2.90001E-02   1.38892E+03
           3.00040E-02   1.56355E+03
           3.10078E-02   1.73615E+03
           3.20017E-02   1.89683E+03
           3.30056E-02   2.03592E+03
           3.40094E-02   2.14801E+03
           3.50033E-02   2.22922E+03
           3.60072E-02   2.28328E+03
           3.70011E-02   2.31698E+03
           3.80049E-02   2.34317E+03
           3.90088E-02   2.36975E+03
           4.00027E-02   2.40688E+03
           4.10066E-02   2.46000E+03
           4.20005E-02   2.53702E+03
           4.30043E-02   2.64781E+03
           4.40082E-02   2.79630E+03
           4.50021E-02   2.98370E+03
           4.60059E-02   3.21688E+03
           4.70096E-02   3.48386E+03
           4.80031E-02   3.77060E+03
           4.90066E-02   4.06763E+03
           5.00001E-02   4.34659E+03
           5.10036E-02   4.59754E+03
           5.20070E-02   4.80922E+03
           5.30006E-02   4.97249E+03
           5.40040E-02   5.09510E+03
           5.50075E-02   5.18609E+03
           5.60010E-02   5.24825E+03
           5.70045E-02   5.29582E+03
           5.80080E-02   5.34283E+03
           5.90015E-02   5.39444E+03
           6.00050E-02   5.46503E+03
           6.10085E-02   5.57684E+03
           6.20020E-02   5.73257E+03
           6.30057E-02   5.94418E+03
           6.40095E-02   6.21688E+03
           6.50034E-02   6.53971E+03
           6.60073E-02   6.91041E+03
           6.70009E-02   7.31590E+03
           6.80040E-02   7.72834E+03
           6.90071E-02   8.11832E+03
           7.00002E-02   8.46937E+03
           7.10033E-02   8.77010E+03
           7.20064E-02   9.00580E+03
           7.30095E-02   9.18548E+03
           7.40027E-02   9.30652E+03
           7.50058E-02   9.39019E+03
           7.60089E-02   9.46129E+03
           7.70020E-02   9.53006E+03
           7.80051E-02   9.60420E+03
           7.90082E-02   9.70882E+03
           8.00014E-02   9.84998E+03
           8.10045E-02   1.00513E+04
           8.20076E-02   1.03332E+04
           8.30007E-02   1.06919E+04
           8.40038E-02   1.11223E+04
           8.50069E-02   1.16179E+04
           8.60001E-02   1.21469E+04
           8.70032E-02   1.26990E+04
           8.80063E-02   1.32492E+04
           8.90094E-02   1.37741E+04
           9.00025E-02   1.42505E+04
           9.10056E-02   1.46879E+04
           9.20087E-02   1.50670E+04
           9.30019E-02   1.53759E+04
           9.40050E-02   1.56214E+04
           9.50081E-02   1.58026E+04
           9.60012E-02   1.59381E+04
           9.70043E-02   1.60576E+04
           9.80074E-02   1.61888E+04
           9.90006E-02   1.63529E+04
           1.00004E-01   1.65776E+04
           1.01007E-01   1.68155E+04
