
                     X       _temp_1

           0.00000E+00   0.00000E+00
           1.00605E-03   1.02774E-01
           2.00419E-03   8.65300E-01
           3.00224E-03   2.75081E+00
           4.00027E-03   6.73022E+00
           5.00788E-03   1.46351E+01
           6.00590E-03   2.92896E+01
           7.00392E-03   5.32512E+01
           8.00194E-03   9.02749E+01
           9.00956E-03   1.43097E+02
           1.00076E-02   2.16175E+02
           1.10056E-02   3.08464E+02
           1.20036E-02   4.22649E+02
           1.30016E-02   5.54810E+02
           1.40093E-02   7.04339E+02
           1.50073E-02   8.58586E+02
           1.60053E-02   1.01015E+03
           1.70033E-02   1.15074E+03
           1.80013E-02   1.27331E+03
           1.90090E-02   1.37152E+03
           2.00070E-02   1.44603E+03
           2.10050E-02   1.49915E+03
           2.20030E-02   1.53520E+03
           2.30010E-02   1.56094E+03
           2.40087E-02   1.58032E+03
           2.50067E-02   1.60868E+03
           2.60047E-02   1.64808E+03
           2.70027E-02   1.70842E+03
           2.80007E-02   1.79274E+03
           2.90083E-02   1.91384E+03
           3.00064E-02   2.06647E+03
           3.10044E-02   2.26106E+03
           3.20024E-02   2.49755E+03
           3.30004E-02   2.78275E+03
           3.40080E-02   3.10921E+03
           3.50061E-02   3.46678E+03
           3.60041E-02   3.84280E+03
           3.70021E-02   4.22869E+03
           3.80001E-02   4.60759E+03
           3.90077E-02   4.96784E+03
           4.00058E-02   5.28984E+03
           4.10038E-02   5.56753E+03
           4.20018E-02   5.79508E+03
           4.30094E-02   5.97132E+03
           4.40074E-02   6.11037E+03
           4.50055E-02   6.20967E+03
           4.60035E-02   6.28905E+03
           4.70015E-02   6.34968E+03
           4.80091E-02   6.41463E+03
           4.90071E-02   6.48944E+03
           5.00052E-02   6.59312E+03
           5.10032E-02   6.72762E+03
           5.20012E-02   6.91599E+03
           5.30088E-02   7.16153E+03
           5.40068E-02   7.48082E+03
           5.50049E-02   7.87218E+03
           5.60029E-02   8.34883E+03
           5.70009E-02   8.90021E+03
           5.80085E-02   9.52050E+03
           5.90065E-02   1.01888E+04
           6.00046E-02   1.08875E+04
           6.10026E-02   1.16009E+04
           6.20006E-02   1.23071E+04
           6.30082E-02   1.29973E+04
           6.40062E-02   1.36349E+04
           6.50043E-02   1.42316E+04
           6.60023E-02   1.47650E+04
           6.70003E-02   1.52442E+04
           6.80079E-02   1.56717E+04
           6.90059E-02   1.60451E+04
           7.00039E-02   1.63663E+04
           7.10020E-02   1.66535E+04
           7.20096E-02   1.69100E+04
           7.30076E-02   1.71583E+04
           7.40056E-02   1.74094E+04
           7.50036E-02   1.76868E+04
           7.60017E-02   1.80123E+04
           7.70093E-02   1.84014E+04
           7.80073E-02   1.88759E+04
           7.90053E-02   1.94401E+04
           8.00033E-02   2.01189E+04
           8.10014E-02   2.09093E+04
           8.20090E-02   2.18267E+04
           8.30070E-02   2.28390E+04
           8.40050E-02   2.39752E+04
           8.50030E-02   2.52263E+04
           8.60011E-02   2.65962E+04
           8.70087E-02   2.81109E+04
           8.80067E-02   2.97422E+04
           8.90047E-02   3.15180E+04
           9.00027E-02   3.34254E+04
           9.10008E-02   3.54860E+04
           9.20084E-02   3.77155E+04
           9.30064E-02   4.00849E+04
           9.40044E-02   4.26045E+04
           9.50024E-02   4.52827E+04
           9.60005E-02   4.81206E+04
           9.70081E-02   5.11679E+04
           9.80061E-02   5.43697E+04
           9.90041E-02   5.77419E+04
           1.00002E-01   6.13209E+04
           1.01000E-01   6.50535E+04
