
                     X       _temp_1

           0.00000E+00   0.00000E+00
           1.00155E-03   8.97951E-02
           2.00621E-03   1.25628E+00
           3.00033E-03   3.35572E+00
           4.00412E-03   7.90085E+00
           5.00774E-03   1.65877E+01
           6.00131E-03   3.20667E+01
           7.00474E-03   5.88167E+01
           8.00811E-03   1.00514E+02
           9.00148E-03   1.59262E+02
           1.00048E-02   2.39315E+02
           1.10080E-02   3.49942E+02
           1.20014E-02   4.87990E+02
           1.30046E-02   6.59719E+02
           1.40078E-02   8.65263E+02
           1.50011E-02   1.09150E+03
           1.60043E-02   1.34233E+03
           1.70076E-02   1.60613E+03
           1.80009E-02   1.86814E+03
           1.90042E-02   2.11751E+03
           2.00075E-02   2.34015E+03
           2.10009E-02   2.52999E+03
           2.20041E-02   2.68422E+03
           2.30074E-02   2.80855E+03
           2.40007E-02   2.89486E+03
           2.50037E-02   2.95618E+03
           2.60068E-02   3.00742E+03
           2.70000E-02   3.04660E+03
           2.80031E-02   3.09346E+03
           2.90062E-02   3.14890E+03
           3.00093E-02   3.22008E+03
           3.10025E-02   3.31889E+03
           3.20055E-02   3.45655E+03
           3.30086E-02   3.64075E+03
           3.40018E-02   3.87042E+03
           3.50049E-02   4.16581E+03
           3.60080E-02   4.52022E+03
           3.70012E-02   4.94583E+03
           3.80042E-02   5.45216E+03
           3.90073E-02   6.00756E+03
           4.00005E-02   6.61477E+03
           4.10036E-02   7.26867E+03
           4.20067E-02   7.94613E+03
           4.30098E-02   8.63090E+03
           4.40029E-02   9.29885E+03
           4.50060E-02   9.95524E+03
           4.60091E-02   1.05801E+04
           4.70023E-02   1.11829E+04
           4.80054E-02   1.17522E+04
           4.90085E-02   1.22781E+04
           5.00016E-02   1.27702E+04
           5.10047E-02   1.32166E+04
           5.20078E-02   1.36341E+04
           5.30010E-02   1.40199E+04
           5.40041E-02   1.43830E+04
           5.50072E-02   1.47311E+04
           5.60003E-02   1.50712E+04
           5.70034E-02   1.54379E+04
           5.80065E-02   1.58204E+04
           5.90096E-02   1.62482E+04
           6.00028E-02   1.67378E+04
           6.10059E-02   1.73088E+04
           6.20090E-02   1.79961E+04
           6.30021E-02   1.87824E+04
           6.40052E-02   1.96964E+04
           6.50083E-02   2.07450E+04
           6.60015E-02   2.19138E+04
           6.70046E-02   2.32567E+04
           6.80077E-02   2.47527E+04
           6.90008E-02   2.63945E+04
           7.00039E-02   2.82409E+04
           7.10070E-02   3.02600E+04
           7.20002E-02   3.24538E+04
           7.30033E-02   3.48856E+04
           7.40064E-02   3.75335E+04
           7.50095E-02   4.04198E+04
           7.60026E-02   4.35169E+04
           7.70057E-02   4.69016E+04
           7.80088E-02   5.05710E+04
           7.90020E-02   5.44903E+04
           8.00051E-02   5.87574E+04
           8.10082E-02   6.33739E+04
           8.20013E-02   6.82931E+04
           8.30044E-02   7.36527E+04
           8.40075E-02   7.94314E+04
           8.50007E-02   8.55701E+04
           8.60038E-02   9.22294E+04
           8.70069E-02   9.93669E+04
           8.80000E-02   1.06931E+05
           8.90031E-02   1.15138E+05
           9.00062E-02   1.23947E+05
           9.10093E-02   1.33384E+05
           9.20025E-02   1.43395E+05
           9.30056E-02   1.54216E+05
           9.40087E-02   1.65787E+05
           9.50018E-02   1.78057E+05
           9.60049E-02   1.91331E+05
           9.70080E-02   2.05541E+05
           9.80012E-02   2.20579E+05
           9.90043E-02   2.36794E+05
           1.00007E-01   2.54124E+05
           1.01001E-01   2.72367E+05
