
                     X       _temp_1

           0.00000E+00   0.00000E+00
           1.00376E-03   1.03912E-01
           2.00007E-03   1.06204E+00
           3.00383E-03   2.92825E+00
           4.00015E-03   7.25320E+00
           5.00390E-03   1.55591E+01
           6.00022E-03   3.13496E+01
           7.00397E-03   5.65681E+01
           8.00028E-03   9.55682E+01
           9.00397E-03   1.52267E+02
           1.00002E-02   2.29140E+02
           1.10039E-02   3.31346E+02
           1.20002E-02   4.58360E+02
           1.30039E-02   6.11491E+02
           1.40001E-02   7.86789E+02
           1.50038E-02   9.78672E+02
           1.60001E-02   1.17385E+03
           1.70039E-02   1.36740E+03
           1.80003E-02   1.54660E+03
           1.90041E-02   1.70498E+03
           2.00005E-02   1.82928E+03
           2.10043E-02   1.92766E+03
           2.20007E-02   1.99628E+03
           2.30045E-02   2.04644E+03
           2.40009E-02   2.08141E+03
           2.50047E-02   2.11059E+03
           2.60011E-02   2.14365E+03
           2.70049E-02   2.18335E+03
           2.80013E-02   2.24451E+03
           2.90051E-02   2.33213E+03
           3.00015E-02   2.45513E+03
           3.10053E-02   2.61504E+03
           3.20017E-02   2.81733E+03
           3.30055E-02   3.07377E+03
           3.40019E-02   3.38678E+03
           3.50057E-02   3.75452E+03
           3.60021E-02   4.16800E+03
           3.70059E-02   4.62365E+03
           3.80023E-02   5.10487E+03
           3.90061E-02   5.59590E+03
           4.00025E-02   6.07701E+03
           4.10063E-02   6.54311E+03
           4.20027E-02   6.96779E+03
           4.30065E-02   7.35650E+03
           4.40029E-02   7.69016E+03
           4.50067E-02   7.99130E+03
           4.60031E-02   8.23996E+03
           4.70069E-02   8.45243E+03
           4.80033E-02   8.63409E+03
           4.90071E-02   8.79626E+03
           5.00035E-02   8.95307E+03
           5.10073E-02   9.10095E+03
           5.20037E-02   9.25570E+03
           5.30001E-02   9.42416E+03
           5.40039E-02   9.63172E+03
           5.50003E-02   9.88731E+03
           5.60041E-02   1.02119E+04
           5.70005E-02   1.06188E+04
           5.80043E-02   1.11204E+04
           5.90006E-02   1.17053E+04
           6.00045E-02   1.23920E+04
           6.10008E-02   1.31591E+04
           6.20047E-02   1.40084E+04
           6.30010E-02   1.49056E+04
           6.40049E-02   1.58541E+04
           6.50012E-02   1.68346E+04
           6.60051E-02   1.78406E+04
           6.70014E-02   1.88618E+04
           6.80053E-02   1.99053E+04
           6.90016E-02   2.09737E+04
           7.00055E-02   2.20842E+04
           7.10018E-02   2.32216E+04
           7.20057E-02   2.44124E+04
           7.30020E-02   2.56428E+04
           7.40058E-02   2.69397E+04
           7.50022E-02   2.82909E+04
           7.60060E-02   2.97166E+04
           7.70024E-02   3.12166E+04
           7.80062E-02   3.28067E+04
           7.90026E-02   3.44819E+04
           8.00064E-02   3.62793E+04
           8.10028E-02   3.81914E+04
           8.20066E-02   4.02645E+04
           8.30030E-02   4.24749E+04
           8.40068E-02   4.48699E+04
           8.50032E-02   4.74431E+04
           8.60070E-02   5.02518E+04
           8.70034E-02   5.32807E+04
           8.80072E-02   5.65968E+04
           8.90036E-02   6.01570E+04
           9.00074E-02   6.40450E+04
           9.10038E-02   6.82107E+04
           9.20002E-02   7.27180E+04
           9.30040E-02   7.76222E+04
           9.40004E-02   8.28628E+04
           9.50042E-02   8.85464E+04
           9.60006E-02   9.46209E+04
           9.70074E-02   1.01230E+05
           9.80036E-02   1.08280E+05
           9.90074E-02   1.15924E+05
           1.00004E-01   1.24094E+05
           1.01007E-01   1.32864E+05
