
                     X       _temp_1

           0.00000E+00   0.00000E+00
           1.00603E-03   9.26691E-02
           2.00309E-03   1.39578E+00
           3.00974E-03   3.83722E+00
           4.00648E-03   8.66327E+00
           5.00289E-03   1.81057E+01
           6.00836E-03   3.42615E+01
           7.00319E-03   6.17482E+01
           8.00717E-03   1.05568E+02
           9.00114E-03   1.67554E+02
           1.00048E-02   2.52113E+02
           1.10084E-02   3.68816E+02
           1.20022E-02   5.17921E+02
           1.30058E-02   7.02413E+02
           1.40094E-02   9.29485E+02
           1.50032E-02   1.18688E+03
           1.60068E-02   1.47656E+03
           1.70006E-02   1.79363E+03
           1.80042E-02   2.12398E+03
           1.90078E-02   2.45138E+03
           2.00016E-02   2.76384E+03
           2.10052E-02   3.05475E+03
           2.20088E-02   3.30793E+03
           2.30026E-02   3.51654E+03
           2.40062E-02   3.68482E+03
           2.50000E-02   3.80284E+03
           2.60036E-02   3.89448E+03
           2.70072E-02   3.96957E+03
           2.80010E-02   4.01996E+03
           2.90046E-02   4.06985E+03
           3.00082E-02   4.12891E+03
           3.10020E-02   4.20151E+03
           3.20057E-02   4.30722E+03
           3.30095E-02   4.44821E+03
           3.40035E-02   4.62691E+03
           3.50073E-02   4.85858E+03
           3.60013E-02   5.15649E+03
           3.70051E-02   5.51979E+03
           3.80089E-02   5.95292E+03
           3.90029E-02   6.47592E+03
           4.00067E-02   7.07623E+03
           4.10007E-02   7.74265E+03
           4.20045E-02   8.50271E+03
           4.30082E-02   9.31746E+03
           4.40023E-02   1.01743E+04
           4.50060E-02   1.10881E+04
           4.60001E-02   1.20125E+04
           4.70038E-02   1.29492E+04
           4.80076E-02   1.38849E+04
           4.90016E-02   1.47956E+04
           5.00054E-02   1.56824E+04
           5.10092E-02   1.65582E+04
           5.20032E-02   1.74098E+04
           5.30070E-02   1.82397E+04
           5.40010E-02   1.90721E+04
           5.50048E-02   1.99204E+04
           5.60086E-02   2.07650E+04
           5.70026E-02   2.16342E+04
           5.80064E-02   2.25498E+04
           5.90004E-02   2.34917E+04
           6.00042E-02   2.45071E+04
           6.10079E-02   2.55987E+04
           6.20020E-02   2.67554E+04
           6.30057E-02   2.80099E+04
           6.40095E-02   2.93797E+04
           6.50035E-02   3.08749E+04
           6.60073E-02   3.25239E+04
           6.70013E-02   3.43212E+04
           6.80051E-02   3.63274E+04
           6.90089E-02   3.85225E+04
           7.00029E-02   4.09233E+04
           7.10067E-02   4.36160E+04
           7.20007E-02   4.65338E+04
           7.30045E-02   4.97475E+04
           7.40082E-02   5.32819E+04
           7.50023E-02   5.71111E+04
           7.60060E-02   6.13202E+04
           7.70001E-02   6.58571E+04
           7.80038E-02   7.08412E+04
           7.90076E-02   7.62549E+04
           8.00016E-02   8.20452E+04
           8.10054E-02   8.83572E+04
           8.20092E-02   9.51946E+04
           8.30032E-02   1.02509E+05
           8.40070E-02   1.10453E+05
           8.50010E-02   1.18931E+05
           8.60048E-02   1.28152E+05
           8.70085E-02   1.38050E+05
           8.80026E-02   1.48569E+05
           8.90063E-02   1.59980E+05
           9.00004E-02   1.72096E+05
           9.10041E-02   1.85218E+05
           9.20079E-02   1.99302E+05
           9.30019E-02   2.14248E+05
           9.40057E-02   2.30393E+05
           9.50095E-02   2.47653E+05
           9.60035E-02   2.65909E+05
           9.70073E-02   2.85600E+05
           9.80013E-02   3.06406E+05
           9.90051E-02   3.28783E+05
           1.00009E-01   3.52606E+05
           1.01003E-01   3.77653E+05
