
                        _U:U3 PI: HE
                        XWIDT_20MM_F
                        INALFIX-1 N:
                     X       816    

           0.00000E+00   0.00000E+00
           1.00050E-02  -7.07011E-02
           2.00053E-02  -1.29783E-01
           3.00040E-02  -2.11047E-01
           4.00027E-02  -2.58032E-01
           5.00001E-02  -3.49673E-01
           6.00050E-02  -3.88291E-01
           7.00002E-02  -4.88969E-01
           8.00014E-02  -5.24185E-01
           9.00025E-02  -6.39685E-01
           1.00004E-01  -6.88398E-01
           1.10005E-01  -6.48009E-01
           1.20006E-01  -5.57514E-01
           1.30001E-01  -4.99920E-01
           1.40010E-01  -4.33244E-01
           1.50008E-01  -3.56164E-01
           1.60007E-01  -3.11236E-01
           1.70006E-01  -2.13390E-01
           1.80004E-01  -1.82835E-01
           1.90003E-01  -6.81776E-02
           2.00000E-01  -5.27114E-02




